,Store Name,Department,customer_time,Age_Group,Day_Name,Count of employees across each condition,Employee Salary,Count of employees across each store,Avg sales across each store,Count of Customers,Employee to sales ratio,Predicted Values
868,FIPL 15,Employee,Afternoon Shift (12 PM - 3 PM),Female (23-50),Friday,7,3477027960,19,433.51209756097563,144,22.81642618741977,8.0
869,FIPL 15,Employee,Afternoon Shift (12 PM - 3 PM),Female (23-50),Monday,7,3477027960,19,433.51209756097563,240,22.81642618741977,8.0
870,FIPL 15,Employee,Afternoon Shift (12 PM - 3 PM),Female (23-50),Saturday,7,3477027960,19,433.51209756097563,216,22.81642618741977,8.0
871,FIPL 15,Employee,Afternoon Shift (12 PM - 3 PM),Female (23-50),Sunday,7,3477027960,19,433.51209756097563,96,22.81642618741977,8.0
872,FIPL 15,Employee,Afternoon Shift (12 PM - 3 PM),Female (23-50),Thursday,7,3477027960,19,433.51209756097563,144,22.81642618741977,8.0
873,FIPL 15,Employee,Afternoon Shift (12 PM - 3 PM),Female (23-50),Tuesday,7,3477027960,19,433.51209756097563,120,22.81642618741977,8.0
874,FIPL 15,Employee,Afternoon Shift (12 PM - 3 PM),Female (23-50),Wednesday,7,3477027960,19,433.51209756097563,168,22.81642618741977,8.0
875,FIPL 15,Employee,Afternoon Shift (12 PM - 3 PM),Female (50-65),Friday,2,3477027960,19,433.51209756097563,144,22.81642618741977,1.0
876,FIPL 15,Employee,Afternoon Shift (12 PM - 3 PM),Female (50-65),Monday,2,3477027960,19,433.51209756097563,240,22.81642618741977,1.0
877,FIPL 15,Employee,Afternoon Shift (12 PM - 3 PM),Female (50-65),Saturday,2,3477027960,19,433.51209756097563,216,22.81642618741977,1.0
878,FIPL 15,Employee,Afternoon Shift (12 PM - 3 PM),Female (50-65),Sunday,2,3477027960,19,433.51209756097563,96,22.81642618741977,1.0
879,FIPL 15,Employee,Afternoon Shift (12 PM - 3 PM),Female (50-65),Thursday,2,3477027960,19,433.51209756097563,144,22.81642618741977,1.0
880,FIPL 15,Employee,Afternoon Shift (12 PM - 3 PM),Female (50-65),Tuesday,2,3477027960,19,433.51209756097563,120,22.81642618741977,1.0
881,FIPL 15,Employee,Afternoon Shift (12 PM - 3 PM),Female (50-65),Wednesday,2,3477027960,19,433.51209756097563,168,22.81642618741977,1.0
882,FIPL 15,Employee,Afternoon Shift (12 PM - 3 PM),Male (23-50),Friday,10,3477027960,19,433.51209756097563,144,22.81642618741977,7.0
